"SEX","n","island","ID","tripID","n_locs","departure","return","duration","total_dist","max_dist","direction","Mean_Depth","Median_Depth","SD_Depth","Max_Depth","Min_Depth","Source","Island"
"M","15","MS","SL12","SL12_01","1383","2022-09-23 16:44:41","2022-09-23 20:57:11","4.20833333333333","114.174375721054","24.6793627979037","319.427368525965",1.8469942959657,1.84752035529238,0.0924469196591373,2.38638045891933,1.52775721687639,"SP","SP"
"M","15","MS","SL12","SL12_01","1383","2022-09-23 16:44:41","2022-09-23 20:57:11","4.20833333333333","114.174375721054","24.6793627979037","319.427368525965",1.81320782416214,1.78633111275597,1.07608038749339,27.3841598815692,-0.58129780409573,"MS","MS"
"M","16","MS","SL12","SL12_02","456","2022-09-24 18:21:10","2022-09-24 19:37:00","1.26388888888889","49.2329802751161","20.5227857610054","169.025755669499",2.07556346076182,2.06563039723662,0.409941987590849,11.9842092277325,1.67480878361708,"SP","SP"
"M","16","MS","SL12","SL12_02","456","2022-09-24 18:21:10","2022-09-24 19:37:00","1.26388888888889","49.2329802751161","20.5227857610054","169.025755669499",2.40465585379684,2.4194423883543,0.0794981531591611,2.60547742413028,1.94423883543055,"MS","MS"
"M","17","MS","SL13","SL13_01","1251","2022-09-23 17:12:39","2022-09-23 21:21:52","4.15361111111111","89.9654846249342","20.2179968554482","194.043832636839",1.45404638539354,1.45275104860597,0.325112450947039,9.06883789785345,1.08956328645447,"SP","SP"
"M","17","MS","SL13","SL13_01","1251","2022-09-23 17:12:39","2022-09-23 21:21:52","4.15361111111111","89.9654846249342","20.2179968554482","194.043832636839",1.61968799362824,1.553417221811,0.561665250849312,8.78855169010609,1.15766099185788,"MS","MS"
"M","18","MS","SL13","SL13_02","602","2022-09-24 14:29:30","2022-09-24 16:14:20","1.74722222222222","67.2326901046529","31.1542541211353","211.562717051961",1.70143959878548,1.69652109548483,0.075263684838921,1.91068344436219,1.51492721440907,"SP","SP"
"M","18","MS","SL13","SL13_02","602","2022-09-24 14:29:30","2022-09-24 16:14:20","1.74722222222222","67.2326901046529","31.1542541211353","211.562717051961",2.29918793379032,2.29558351838145,0.0711390743708361,2.50678509745868,2.05378731803602,"MS","MS"
"M","19","MS","SL13","SL13_03","952","2022-09-24 18:42:50","2022-09-24 21:40:43","2.96472222222222","111.977068130849","37.8196819597079","210.71788949172",1.54569739414299,1.54552183567728,0.0717189132140298,2.39230199851962,1.32839871699976,"SP","SP"
"M","19","MS","SL13","SL13_03","952","2022-09-24 18:42:50","2022-09-24 21:40:43","2.96472222222222","111.977068130849","37.8196819597079","210.71788949172",2.27504726141689,2.08438193930421,1.70519797787767,22.7702936096718,1.84653343202566,"MS","MS"
